hprd|gene_symbol|nuc_acc|pro_acc|entrez|omim|swissprot|name|synonyms
00023|PML|NM_033238.2|NP_150241.2|5371|102578|P29590|PML|MYL,RNF71,TRIM19,
00024|RFC1|NM_002913.3|NP_002904.3|5981|102579|P35251|Replication factor C1|RFC140,
00025|ACVR2A|NM_001616.3|NP_001607.1|92|102581|P27037|Activin A receptor, type II|ACVR2,
00026|STAT3|NM_139276.2|NP_644805.1|6774|102582|P40763|STAT3|APRF,
00027|AOAH|NM_001637.1|NP_001628.1|313|102593|P28039|Acyloxyacyl hydrolase|-
00028|ACYP2|NM_138448.3|NP_612457.1|98|102595|P14621|Acylphosphatase 2, muscle type|ACYP,
00029|APRT|NM_000485.2|NP_000476.1|353|102600|P07741|Adenine phosphoribosyltransferase|-
00030|ACTA1|NM_001100.3|NP_001091.1|58|102610|P68133|Actin alpha, skeletal muscle 1|ACTA,
00031|ACTA2|NM_001613.1|NP_001604.1|59|102620|P62736|Actin alpha 2|ACTSA,ACTVS,
00032|ACTB|NM_001101.2|NP_001092.1|60|102630|P60709|Actin beta|-
00033|SOAT1|NM_003101.4|NP_003092.4|6646|102642|P35610|Sterol O-Acyltransferase|ACACT,ACACT1,ACAT,ACAT1,SOAT,STAT,
00034|APEH|NM_001640.3|NP_001631.3|327|102645|P13798|Acylpeptide hydrolase|D3F15S2,D3S48E,DNF15S2,
00035|MADCAM1|NM_130760.2|NP_570116.2|8174|102670|Q13477|MADCAM1|-
00036|ADD1|NM_014189.2|NP_054908.2|118|102680|P35611|Adducin 1|ADDA,
00037|ADD2|NM_001617.2|NP_001608.1|119|102681|P35612|Adducin 2|ADDB,
00038|ADA|NM_000022.2|NP_000013.2|100|608958|P00813|Adenosine deaminase|-
00039|ADK|NM_006721.2|NP_006712.2|132|102750|P55263|Adenosine kinase|-
00040|AMPD1|NM_000036.1|NP_000027.1|270|102770|P23109|AMP deaminase|-
00041|AMPD3|NM_000480.2|NP_000471.1|272|102772|Q01432|AMP deaminase 3|-
00042|ADORA1|NM_000674.2|NP_000665.1|134|102775|P30542|Adenosine A1 receptor|-
00043|ADORA2A|NM_000675.3|NP_000666.2|135|102776|P29274|Adenosine A2 receptor|ADORA2,
00044|ATP5B|NM_001686.3|NP_001677.2|506|102910|P06576|ATP synthase, beta|ATPMB,ATPSB,
00045|ADCYAP1R1|D17516.1|BAA04466.1|117|102981|P41586|PACAP receptor, type I|-
00046|AK1|NM_000476.1|NP_000467.1|203|103000|P00568|Adenylate kinase 1|-
00047|AK2|NM_001625.2|NP_001616.1|204|103020|P54819|Adenylate kinase 2|ADK2,
00048|AK3L1|NM_013410.2|NP_037542.1|205|103030|P27144|Adenylate kinase 3-like 1|AK3,AK4,
00049|ADSL|NM_000026.1|NP_000017.1|158|608222|P30566|Adenylosuccinate lyase|AMPS,
00050|ADSS|NM_001126.2|NP_001117.2|159|103060|P30520|Adenylosuccinate synthase|ADSS2,
00051|ADCY8|NM_001115.1|NP_001106.1|114|103070|P40145|Adenylate cyclase 8|-
00052|ADCY2|NM_020546.2|NP_065433.2|108|103071|Q08462|Adenylate cyclase 2|KIAA1060,
00053|ADCY1|NM_021116.1|NP_066939.1|107|103072|Q08828|Adenylate cyclase 1|-
00054|ARF1|NM_001658.3|NP_001649.1|375|103180|P84077|ADP ribosylation factor 1|-
00055|ARF5|NM_001662.2|NP_001653.1|381|103188|P84085|ADP ribosylation factor 5|-
00056|ARF3|NM_001659.1|NP_001650.1|377|103190|P61204|ADP ribosylation factor 3|-
00057|ADFP|NM_001122.2|NP_001113.2|123|103195|Q99541|Adipose differentiation related protein|-
00058|SLC25A4|NM_001151.2|NP_001142.2|291|103220|P12235|Solute carrier family 25, mitochondrial carrier, member 4|ANT1,
00059|FDX1|NM_004109.3|NP_004100.1|2230|103260|P10109|Adrenodoxin|ADX,
00060|FDXR|NM_004110.3|NP_004101.2|2232|103270|P22570|Adrenodoxin reductase|ADXR,
00061|ADM|NM_001124.1|NP_001115.1|133|103275|P35318|Adrenomedullin|AM,
00062|ALB|NM_000477.3|NP_000468.1|213|103600|P02768|Albumin|-
00063|ADH1A|NM_000667.2|NP_000658.1|124|103700|P07327|Alcohol dehydrogenase 1|ADH1,
00064|ADH5|NM_000671.3|NP_000662.3|128|103710|P11766|Alcohol dehydrogenase 5, chi polypeptide|ADHX,FDH,
00065|ADH1B|NM_000668.3|NP_000659.2|125|103720|P00325|Alcohol dehydrogenase 2|ADH2,
00066|ADH1C|NM_000669.3|NP_000660.1|126|103730|P00326|Alcohol dehydrogenase 3|ADH3,
00067|ADH6|NM_000672.2|NP_000663.1|130|103735|P28332|Alcohol dehydrogenase 6|-
00068|ADH4|NM_000670.3|NP_000661.2|127|103740|P08319|Alcohol dehydrogenase 4|-
00069|AKR1A1|NM_006066.2|NP_006057.1|10327|103830|P14550|Aldehyde reductase|ALDR1,ALR,
00070|ALDOA|NM_000034.2|NP_000025.1|226|103850|P04075|Aldolase 1|ALDA,
00071|AKR1B1|NM_001628.2|NP_001619.1|231|103880|P15121|Aldose reductase|ALDR1,
00072|A2M|NM_000014.4|NP_000005.2|2|103950|P01023|Macroglobulin, alpha 2|CPAMD5,
00073|AFM|NM_001133.2|NP_001124.1|173|104145|P43652|Afamin|ALB2,ALBA,
00074|AFP|NM_001134.1|NP_001125.1|174|104150|P02771|Alpha fetoprotein|HPAFP,
00075|ATBF1|NM_006885.3|NP_008816.3|463|104155|Q15911|Alpha fetoprotein enhancer binding protein|-
00076|NAGA|NM_000262.1|NP_000253.1|4668|104170|P17050|Alpha-galactosidase B|-
00077|GANC|NM_198141.2|NP_937784.2|2595|104180|Q8TET4|Alpha glucosidase C, neutral|-
00078|ADRA2A|NM_000681.2|NP_000672.2|150|104210|P08913|Alpha 2A adrenergic receptor|ADRA2R,ADRAR,
00079|ADRA1D|NM_000678.3|NP_000669.1|146|104219|P25100|Alpha 1D adrenergic receptor|ADRA1A,
00080|ADRA1B|NM_000679.3|NP_000670.1|147|104220|P35368|Alpha 1B adrenergic receptor|-
00081|ADRA1A|NM_033303.3|NP_150646.3|148|104221|P35348|Alpha 1A adrenergic receptor|ADRA1C,
00082|LRPAP1|NM_002337.1|NP_002328.1|4043|104225|P30533|RAP|A2MRAP,
00083|FUT4|NM_002033.2|NP_002024.1|2526|104230|P22083|Fucosyltransferase 4|ELFT,FCT3A,
00084|ST3GAL4|NM_006278.1|NP_006269.1|6484|104240|Q11206|Sialyltransferase 4C|CGS23,NANTA3,SIAT4C,STZ,
00085|ADRA2C|NM_000683.3|NP_000674.2|152|104250|P18825|Alpha 2C adrenergic receptor|ADRA2L2,ADRA2RL2,
00086|ADRA2B|NM_000682.5|NP_000673.2|151|104260|P18089|Alpha 2B adrenergic receptor|ADRA2L1,ADRA2RL1,
00087|PSEN1|NM_000021.2|NP_000012.1|5663|104311|P49768|Presenilin 1|AD3,PS1,PSNL1,
00088|ABP1|NM_001091.2|NP_001082.2|26|104610|P19801|Amiloride binding protein 1|AOC1,DAO1,
00089|CCT6A|NM_001762.3|NP_001753.1|908|104613|P40227|Chaperonin containing T-complex polypeptide 1 subunit 6A|CCT6,CCTZ,
00090|SLC3A1|NM_000341.2|NP_000332.1|6519|104614|Q07837|Solute carrier family 3, member 1|RBAT,
00091|SLC7A1|NM_003045.3|NP_003036.1|6541|104615|P30825|Solute carrier family 7, member 1|ATRC1,ERR,REC1L,
00092|ACY1|NM_000666.1|NP_000657.1|95|104620|Q03154|Aminoacylase-1|-
00093|AREG|NM_001657.2|NP_001648.1|374|104640|P15514|Amphiregulin|SDGF,
00094|AMY2A|NM_000699.2|NP_000690.1|279|104650|P04746|Amylase, pancreatic A|-
00095|AMY2B|NM_020978.3|NP_066188.1|280|104660|P19961|Amylase, Pancreatic B|-
00096|AMY1A|NM_004038.3|NP_004029.2|276|104700|P04745|Amylase, salivary|AMY1,AMY1,AMY1,
00097|SAA1|NM_000331.2|NP_000322.2|6288|104750|-|Serum Amyloid A1|-
00098|SAA2|NM_030754.2|NP_110381.1|6289|104751|P02735|Serum amyloid A2|-
00099|SAA4|NM_006512.1|NP_006503.1|6291|104752|P35542|Serum amyloid A4|CSAA,
00100|APP|NM_000484.2|NP_000475.1|351|104760|P05067|Amyloid beta A4 protein|A4,AD1,
00101|APCS|NM_001639.2|NP_001630.1|325|104770|P02743|Serum amyloid P|PTX2,
00102|APLP1|NM_001024807.1|NP_001019978.1|333|104775|P51693|Amyloid precursor like protein 1|-
00103|APLP2|NM_001642.1|NP_001633.1|334|104776|Q06481|Amyloid precursor like protein 2|APPL2,
00104|ALK|NM_004304.3|NP_004295.2|238|105590|Q9UM73|ALK|-
00105|ANG|NM_001145.3|NP_001136.1|283|105850|P03950|Ribonuclease 5|RNASE5,
00106|AGT|NM_000029.2|NP_000020.1|183|106150|P01019|Angiotensin I|SERPINA8,
00107|AGTR1|NM_031850.2|NP_114038.1|185|106165|P30556|Angiotensin receptor 1|AGTR1A,AGTR1B,AT2R1,AT2R1B,
00108|ACE|NM_000789.2|NP_000780.1|1636|106180|P12821|Angiotensin I converting enzyme|DCP,DCP1,
00109|SLC4A3|NM_201574.1|NP_963868.1|6508|106195|P48751|Solute carrier family 4 (anion exchange), member 3|AE3,
00110|ANK2|NM_001148.3|NP_001139.3|287|106410|Q01484|Ankyrin 2|-
00111|ANXA3|NM_005139.2|NP_005130.1|306|106490|P12429|Annexin III|ANX3,
00112|ANXA4|NM_001153.2|NP_001144.1|307|106491|P09525|Annexin IV|ANX4,
00113|CD19|NM_001770.4|NP_001761.3|930|107265|P15391|CD19|-
00114|CD22|NM_001771.1|NP_001762.1|933|107266|P20273|SIGLEC2|SIGLEC2,
00115|CD44|NM_000610.3|NP_000601.3|960|107269|P16070|CD44|LHR,MDU2,MDU3,MIC4,
00116|CD38|NM_001775.2|NP_001766.2|952|107270|P28907|Cyclic ADP ribose hydrolase|-
00117|CD59|NM_000611.4|NP_000602.1|966|107271|P13987|CD59|MIC11,MIN1,MIN2,MIN3,MSK21,
00118|CD72|NM_001782.1|NP_001773.1|971|107272|P21854|CD72|-
00119|CD69|NM_001781.1|NP_001772.1|969|107273|Q07108|CD69 antigen|-
00120|SERPINA3|NM_001085.4|NP_001076.2|12|107280|P01011|Alpha 1 antichymotrypsin|AACT,
00121|SLPI|NM_003064.2|NP_003055.1|6590|107285|P03973|Secretory leukocyte protease inhibitor|WAP4,WFDC4,
00122|SERPINC1|NM_000488.2|NP_000479.1|462|107300|P01008|Antithrombin III|AT3,
00123|SLC9A1|NM_003047.2|NP_003038.2|6548|107310|P19634|Solute carrier family 9, isoform A1|APNH1,NHE1,
00124|ALDH7A1|NM_001182.2|NP_001173.1|501|107323|P49419|Aldehyde dehydrogenase 7 family, member A1|ATQ1,
00125|CD3EAP|NM_012099.1|NP_036231.1|10849|107325|O15446|Antisense ERCC1|ASE1,CAST,PAF49,
00126|IFNAR1|NM_000629.2|NP_000620.2|3454|107450|P17181|Interferon, alpha receptor|IFNAR,
00127|IFNGR1|NM_000416.1|NP_000407.1|3459|107470|P15260|Interferon gamma receptor 1|-
00128|TFAP2A|NM_003220.2|NP_003211.1|7020|107580|P05549|Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)|AP2TF,TFAP2,
00129|APOA2|NM_001643.1|NP_001634.1|336|107670|P02652|Apolipoprotein A II|-
00130|APOA4|NM_000482.3|NP_000473.2|337|107690|P06727|Apolipoprotein A IV|-
00131|APOC1|NM_001645.3|NP_001636.1|341|107710|P02654|Apolipoprotein C-I|-
00132|APOC3|NM_000040.1|NP_000031.1|345|107720|P02656|Apolipoprotein C III|-
00133|APOB|NM_000384.2|NP_000375.2|338|107730|P04114|Apolipoprotein B|-
00134|APOD|NM_001647.2|NP_001638.1|347|107740|P05090|Apolipoprotein D|-
00135|APOE|NM_000041.2|NP_000032.1|348|107741|P02649|Apolipoprotein E|-
00136|APEX1|NM_080649.1|NP_542380.1|328|107748|P27695|Apex nuclease|APE,APEX,APX,HAP1,REF1,
00137|APOF|NM_001638.2|NP_001629.1|319|107760|Q13790|Apolipoprotein F|-
00138|LRP1|NM_002332.2|NP_002323.2|4035|107770|Q07954|Low density lipoprotein receptor-related protein 1|A2MR,APR,
00139|NR2F2|NM_021005.2|NP_066285.1|7026|107773|P24468|Nuclear receptor subfamily 2, group F, member 2|ARP1,TFCOUP2,
00140|AQP1|NM_198098.1|NP_932766.1|358|107776|P29972|Aquaporin 1|CHIP28,
00141|AQP2|NM_000486.3|NP_000477.1|359|107777|P41181|Aquaporin 2|-
00142|RARS|NM_002887.3|NP_002878.2|5917|107820|P54136|Arginyl-tRNA synthetase|-
00143|ARG2|NM_001172.3|NP_001163.1|384|107830|P78540|Arginase II|-
00144|TNFRSF17|NM_001192.2|NP_001183.2|608|109545|Q02223|BCMA|BCM,BCMA,
00145|DDC|NM_000790.3|NP_000781.1|1644|107930|P20711|DOPA decarboxylase|AADC,
00146|ARRB1|NM_004041.3|NP_004032.2|408|107940|P49407|Beta arrestin 1|ARR1,
00147|ARRB2|NM_004313.3|NP_004304.1|409|107941|P32121|Beta arrestin 2|ARB2,ARR2,
00148|CYP1A1|NM_000499.2|NP_000490.1|1543|108330|P04798|Cytochrome p450 subfamily, polypeptide 1|-
00149|NAT1|NM_000662.4|NP_000653.3|9|108345|P18440|N-acetyltransferase 1|AAC1,
00150|GRB2|NM_002086.3|NP_002077.1|2885|108355|P62993|Grb2|ASH,
00151|ASGR1|NM_001671.2|NP_001662.1|432|108360|P07306|Asialoglycoprotein receptor 1|-
00152|ASGR2|NM_080912.1|NP_550434.1|433|108361|P07307|Asialoglycoprotein receptor 2|-
00153|ASNS|NM_133436.1|NP_597680.1|440|108370|P08243|Asparagine synthetase|TS11,
00154|NARS|NM_004539.2|NP_004530.1|4677|108410|O43776|Asparaginyl tRNA synthetase|ASNS,
00155|ACLY|NM_001096.2|NP_001087.2|47|108728|P53396|ATP citrate lyase|-
00156|ATP5C1|NM_001001973.1|NP_001001973.1|509|108729|P36542|Mitochondrial ATP synthase, gamma subunit 1|ATP5C,ATP5CL1,
00157|ATP2A1|NM_173201.2|NP_775293.1|487|108730|O14983|Sarcoplasmic/endoplasmic reticulum calcium ATPase 1|-
00158|ATP2B1|NM_001682.2|NP_001673.2|490|108731|P20020|Plasma membrane Ca(2+) ATPase, type 1|PMCA1,
00159|ATP2B4|NM_001684.3|NP_001675.3|493|108732|P23634|Plasma membrane Ca(2+) ATPase type 4|ATP2B2,MXRA1,
00160|ATP2B2|NM_001001331.1|NP_001001331.1|491|108733|Q01814|Plasma membrane Ca(2+) ATPase, type 2|PMCA2,
00161|ATP2A2|NM_170665.2|NP_733765.1|488|108740|P16615|Sarcoplasmic/endoplasmic reticulum calcium ATPase 2|ATP2B,
00162|ATP6V0C|NM_001694.2|NP_001685.1|527|108745|P27449|ATP6V0C|ATP6C,ATP6L,ATPL,
00163|ATP6V1E1|NM_001696.3|NP_001687.1|529|108746|P36543|ATP6V1E|ATP6E,ATP6E2,
00164|NPPA|NM_006172.2|NP_006163.1|4878|108780|P01160|Atrial natriuretic factor|ANP,PND,
00165|NPR1|NM_000906.2|NP_000897.2|4881|108960|P16066|A/Guanylate cyclase A|ANPRA,
00166|NPR2|NM_003995.3|NP_003986.2|4882|108961|P20594|B/Guanylate cyclase B|ANPRB,
00167|NPR3|NM_000908.2|NP_000899.1|4883|108962|P17342|NPR-C|ANPRC,
00168|SSB|NM_003142.3|NP_003133.1|6741|109090|P05455|Autoantigen La|-
00169|CALR|NM_004343.2|NP_004334.1|811|109091|P27797|Calreticulin|CRTC,
00170|TRIM21|NM_003141.3|NP_003132.2|6737|109092|P19474|Tripartite motif containing protein 21|RNF81,RO52,SSA1,
00171|AXL|NM_021913.2|NP_068713.2|558|109135|P30530|AXL receptor tyrosine kinase|UFO,
00172|LST1|NM_007161.2|NP_009092.2|7940|109170|O00453|LST1|B144,
00173|SLC1A5|NM_005628.1|NP_005619.1|6510|109190|Q15758|Sodium dependent neutral amino acid transporter type 2|ASCT2,M7V1,RDR,RDRC,
00174|BPI|NM_001725.1|NP_001716.1|671|109195|P17213|BPI|-
00175|SLC4A1|NM_000342.1|NP_000333.1|6521|109270|P02730|Solute carrier family 4, anion exchanger, member 1|AE1,DI,EPB3,
00176|BSG|NM_001728.2|NP_001719.2|682|109480|P35613|CD147|-
00177|CD48|NM_001778.2|NP_001769.2|962|109530|P09326|CD48 antigen|BCM1,BLAST1,
00178|CD40|NM_001250.4|NP_001241.1|958|109535|P25942|CD40|TNFRSF5,
00179|BCL3|NM_005178.3|NP_005169.1|602|109560|P20749|Bcl 3|BCL4,D19S37,
00180|BCL6|NM_138931.1|NP_620309.1|604|109565|P41182|B cell lymphoma 6 protein|BCL5,LAZ3,ZBTB27,ZNF51,
00181|ADRB1|NM_000684.2|NP_000675.1|153|109630|P08588|Adrenergic receptor, Beta 1|ADRB1R,B1AR,
00182|ADRBK1|NM_001619.3|NP_001610.2|156|109635|P25098|G protein dependent receptor kinase 2|BARK,BARK1,GRK2,
00183|ADRBK2|NM_005160.3|NP_005151.2|157|109636|P35626|Beta adrenergic receptor kinase 2|BARK2,GRK3,
00184|ST6GAL1|NM_173216.1|NP_775323.1|6480|109675|P15907|Sialyltransferase 1|SIAT1,
00185|HSD17B1|NM_000413.1|NP_000404.1|3292|109684|P14061|17-Beta hydroxysteroid dehydrogenase I|E17KSR,EDH17B1,EDH17B2,EDHB17,
00186|HSD17B2|NM_002153.1|NP_002144.1|3294|109685|P37059|17-Beta-hydroxysteroid dehydrogenase II|EDH17B2,
00187|ADRB2|NM_000024.4|NP_000015.1|154|109690|P07550|Beta-2-adrenergic receptor|ADRB2R,B2AR,
00188|ADRB3|NM_000025.1|NP_000016.1|155|109691|P13945|Beta-3-adrenergic receptor|ADRB3R,B3AR,
00189|B2M|NM_004048.2|NP_004039.1|567|109700|P61769|Beta 2 microglobulin|-
00190|HTR1A|NM_000524.2|NP_000515.2|3350|109760|P08908|5-hydroxytryptamine receptor, 1A|ADRB2RL1,ADRBRL1,
00191|CEACAM1|NM_001712.3|NP_001703.2|634|109770|P13688|Carcinoembryonic antigen related cell adhesion molecule 1|BGP,BGP1,
00192|DARC|NM_002036.2|NP_002027.2|2532|110700|Q16570|CD234|FY,GPD,
00193|GYPC|NM_002101.3|NP_002092.1|2995|110750|P04921|Glycophorin C|GPC,
00194|KEL|NM_000420.2|NP_000411.1|3792|110900|P23276|Kell blood group antigen|-
00195|SLC14A1|NM_015865.2|NP_056949.1|6563|111000|Q13336|Solute carrier family 14 (urea transporter) member 1|HUT11,JK,RACH1,UT1,UTE,
00196|FUT3|NM_000149.1|NP_000140.1|2525|111100|P21217|Fucosyltransferase 3|FT3B,LE,
00197|BCAM|NM_005581.3|NP_005572.2|4059|111200|P50895|B cell adhesion molecule|LU,MSK19,
00198|ICAM4|NM_001039132.1|NP_001034221.1|3386|111250|Q14773|Intercellular adhesion molecule 4|LW,
00199|RHD|NM_016124.3|NP_057208.2|6007|111680|Q02161|Rhesus blood group, D antigen|-
00200|RHCE|NM_020485.3|NP_065231.2|6006|111700|P18577|Blood group rhesus system Cc/Ee polypeptide|RHC,RHE,
00201|GYPB|NM_002100.3|NP_002091.2|2994|111740|P06028|Glycophorin B|GPB,
00202|CD80|NM_005191.3|NP_005182.1|941|112203|P33681|CD80 antigen|CD28LG,CD28LG1,LAB7,
00203|CD79A|NM_001783.3|NP_001774.1|973|112205|P11912|Ig alpha|IGA,MB1,
00204|MS4A1|NM_152866.2|NP_690605.1|931|112210|P11836|B-lymphocyte cell-surface antigen B1|CD20,
00205|BGLAP|NM_199173.2|NP_954642.1|632|112260|P02818|Osteocalcin|-
00206|BMP2|NM_001200.2|NP_001191.1|650|112261|P12643|Bone morphogenetic protein 2|BMP2A,
00207|BMP4|NM_001202.2|NP_001193.1|652|112262|P12644|Bone morphogenetic protein 4|BMP2B,DVR4,
00208|BMP3|NM_001201.2|NP_001192.2|651|112263|P12645|Bone morphogenetic protein 3|-
00209|BMP1|NM_006129.2|NP_006120.1|649|112264|P13497|Bone morphogenic protein 1|PCOLC,
00210|BMP5|NM_021073.2|NP_066551.1|653|112265|P22003|Bone morphogenetic protein 5|-
00211|BMP6|NM_001718.4|NP_001709.1|654|112266|P22004|Bone morphogenetic protein 6|VGR,
00212|BMP7|NM_001719.1|NP_001710.1|655|112267|P18075|Bone morphogenetic protein 7|OP1,
00213|BDKRB2|NM_000623.2|NP_000614.1|624|113503|P30411|Bradykinin receptor 2|BKR2,
00214|BDNF|NM_170734.2|NP_733930.1|627|113505|P23560|Brain derived neurotrophic factor|-
00215|YWHAH|NM_003405.3|NP_003396.1|7533|113508|Q04917|14-3-3 Eta|YWHA1,
00216|BCAT1|NM_005504.4|NP_005495.2|586|113520|P54687|Branched-chain amino acid aminotransferase|BCT1,ECA39,
00217|BCAT2|NM_001190.2|NP_001181.2|587|113530|O15382|Branched-chain aminotransferase 2|BCATM,BCT2,ECA40,
00218|BRCA1|NM_007294.2|NP_009225.1|672|113705|P38398|BRCA1|RNF53,
00219|TFF1|NM_003225.2|NP_003216.1|7031|113710|P04155|Trefoil factor 1|BCEI,PS2,
00220|POU4F2|NM_004575.2|NP_004566.2|5458|113725|Q12837|BRN3B|BRN3B,
00221|UCP1|NM_021833.3|NP_068605.1|7350|113730|P25874|Uncoupling protein 1|SLC25A7,UCP,
00222|DST|NM_183380.2|NP_899236.1|667|113810|O94833|Bullous pemphigoid antigen 1|BPAG1,DMH,DT,KIAA0728,
00223|COL17A1|NM_000494.3|NP_000485.3|1308|113811|Q9UMD9|Collagen XVII|BP180,BPAG2,
00224|C5AR1|NM_001736.3|NP_001727.1|728|113995|P21730|Complement component 5 receptor 1|C5AR,C5R1,
00225|CDH15|NM_004933.2|NP_004924.1|1013|114019|P55291|Cadherin 15|CDH14,CDH3,
00226|CDH2|NM_001792.2|NP_001783.2|1000|114020|P19022|Cadherin 2|CDHN,NCAD,
00227|CDH3|NM_001793.3|NP_001784.2|1001|114021|P22223|Cadherin 3|CDHP,
00228|CTNNA2|NM_004389.2|NP_004380.2|1496|114025|P26232|Catenin, alpha 2|CAPR,
00229|CALB1|NM_004929.2|NP_004920.1|793|114050|P05937|Calbindin 1|CAB27,
00230|CALB2|NM_001740.2|NP_001731.1|794|114051|P22676|Calbindin 2|CAB29,
00231|ANXA6|NM_001155.3|NP_001146.2|309|114070|P08133|Annexin VI|ANX6,
00232|S100A10|NM_002966.2|NP_002957.1|6281|114085|P60903|Calpactin I, light chain|ANX2LG,CAL1L,CLP11,
00233|CAST|NM_001750.5|NP_001741.4|831|114090|P20810|Calpastatin|-
00234|PPP3CA|NM_000944.3|NP_000935.1|5530|114105|Q08209|Calcineurin A alpha|CALNA,CNA,
00235|PPP3CB|BC028049.1|AAH28049.1|5532|114106|P16298|Calcineurin A2|CALNA2,CALNB,CNA2,
00236|PPP3CC|NM_005605.3|NP_005596.2|5533|114107|P48454|Calcineurin A3|CALNA3,CNA3,
00237|S100A6|NM_014624.3|NP_055439.1|6277|114110|P06703|Calcyclin|CACY,
00238|CALCA|NM_001741.2|NP_001732.1|796|114130|P01258|Calcitonin/calcitonin-related polypeptide, alpha|CALC1,
00239|CALCR|NM_001742.2|NP_001733.1|799|114131|P30988|Calcitonin receptor|-
00240|CAPNS1|NM_001749.2|NP_001740.1|826|114170|P04632|Calpain, small subunit 1|CAPN4,CAPNS,
00241|CALM1|NM_006888.3|NP_008819.1|801|114180|-|Calmodulin 1|CALM,CAM,CAM1,CAM2,CAMB,CALML2,CAM3,CAMC,CAMIII,
00242|CALM2|NM_001743.3|NP_001734.1|805|114182|P62158|Calmodulin 2|CALM,CAM,CAM1,CAM2,CAMB,CALML2,CAM3,CAMC,CAMIII,
00243|CALM3|NM_005184.2|NP_005175.2|808|114183|-|Calmodulin 3|CALM,CAM,CAM1,CAM2,CAMB,CALML2,CAM3,CAMC,CAMIII,
00244|CALML3|NM_005185.2|NP_005176.1|810|114184|P27482|Calmodulin like 3|-
00245|CACNA2D1|NM_000722.2|NP_000713.2|781|114204|P54289|Calcium channel, voltage dependent, alpha 2/delta subunit 1|CACNL2A,CCHL2A,MHS3,
00246|CACNA1C|NM_000719.5|NP_000710.5|775|114205|Q13936|Calcium channel, voltage dependent, L type, alpha 1C subunit|CACH2,CACN2,CACNL1A1,CCHL1A1,
00247|CACNA1D|NM_000720.1|NP_000711.1|776|114206|Q01668|Calcium channel voltage dependent, L type alpha 1D subunit|CACH3,CACN4,CACNL1A2,CCHL1A2,
00248|CACNA1S|NM_000069.2|NP_000060.2|779|114208|Q13698|Calcium channel, voltage-dependent, L type, alpha-1S subunit|CACH1,CACN1,CACNL1A3,
00249|CACNG1|NM_000727.2|NP_000718.1|786|114209|Q06432|Calcium channel, voltage dependent, gamma subunit 1|CACNLG,
00250|CAPS|NM_004058.2|NP_004049.1|828|114212|Q13938|Calcyphosine|-
00251|CALD1|NM_033138.2|NP_149129.2|800|114213|Q05682|Caldesmon 1|CAD,CDM,
00252|CANX|NM_001746.3|NP_001737.1|821|114217|P27824|Calnexin|-
00253|CAPN1|NM_005186.2|NP_005177.2|823|114220|P07384|Calpain, large polypeptide L1|CANPL1,
